sample_id,split,audio_path,reference_text_path,channel_mode,sample_rate_hz,duration_sec,domain_tag,noise_level,accent_tag
00100004000_20260226_1423050818_203,dev,Recordings Examples\20260226\203\00100004000_20260226_1423050818_203.mp3,data\bakeoff\references\00100004000_20260226_1423050818_203.txt,multi,8000,10.000,phone_calls,medium,
00100007000_20260226_0949590955_206,dev,Recordings Examples\20260226\206\00100007000_20260226_0949590955_206.mp3,data\bakeoff\references\00100007000_20260226_0949590955_206.txt,multi,8000,9.000,phone_calls,medium,
00100007000_20260226_1408320150_206,dev,Recordings Examples\20260226\206\00100007000_20260226_1408320150_206.mp3,data\bakeoff\references\00100007000_20260226_1408320150_206.txt,multi,8000,26.000,phone_calls,medium,
00100007000_20260226_1514520180_206,validation,Recordings Examples\20260226\206\00100007000_20260226_1514520180_206.mp3,data\bakeoff\references\00100007000_20260226_1514520180_206.txt,multi,8000,32.000,phone_calls,medium,
00100009000_20260226_1642010128_208,dev,Recordings Examples\20260226\208\00100009000_20260226_1642010128_208.mp3,data\bakeoff\references\00100009000_20260226_1642010128_208.txt,multi,8000,32.000,phone_calls,medium,
00100012000_20260226_1046570739_211,dev,Recordings Examples\20260226\211\00100012000_20260226_1046570739_211.mp3,data\bakeoff\references\00100012000_20260226_1046570739_211.txt,multi,8000,31.000,phone_calls,medium,
00100012000_20260226_1054330014_211,dev,Recordings Examples\20260226\211\00100012000_20260226_1054330014_211.mp3,data\bakeoff\references\00100012000_20260226_1054330014_211.txt,multi,8000,37.000,phone_calls,medium,
00100012000_20260226_1457350822_211,dev,Recordings Examples\20260226\211\00100012000_20260226_1457350822_211.mp3,data\bakeoff\references\00100012000_20260226_1457350822_211.txt,multi,8000,41.000,phone_calls,medium,
00100012000_20260226_1514520196_211,dev,Recordings Examples\20260226\211\00100012000_20260226_1514520196_211.mp3,data\bakeoff\references\00100012000_20260226_1514520196_211.txt,multi,8000,32.000,phone_calls,medium,
00100014000_20260226_1025360208_213,validation,Recordings Examples\20260226\213\00100014000_20260226_1025360208_213.mp3,data\bakeoff\references\00100014000_20260226_1025360208_213.txt,multi,8000,18.000,phone_calls,medium,
00100014000_20260226_1035020606_213,holdout,Recordings Examples\20260226\213\00100014000_20260226_1035020606_213.mp3,data\bakeoff\references\00100014000_20260226_1035020606_213.txt,multi,8000,34.000,phone_calls,medium,
00100014000_20260226_1121340067_213,dev,Recordings Examples\20260226\213\00100014000_20260226_1121340067_213.mp3,data\bakeoff\references\00100014000_20260226_1121340067_213.txt,multi,8000,24.000,phone_calls,medium,
00100014000_20260226_1138260675_213,dev,Recordings Examples\20260226\213\00100014000_20260226_1138260675_213.mp3,data\bakeoff\references\00100014000_20260226_1138260675_213.txt,multi,8000,38.000,phone_calls,medium,
00100014000_20260226_1509360653_213,dev,Recordings Examples\20260226\213\00100014000_20260226_1509360653_213.mp3,data\bakeoff\references\00100014000_20260226_1509360653_213.txt,multi,8000,41.000,phone_calls,medium,
00100016003_20260226_0928000345_215,dev,Recordings Examples\20260226\215\00100016003_20260226_0928000345_215.mp3,data\bakeoff\references\00100016003_20260226_0928000345_215.txt,multi,8000,19.000,phone_calls,medium,
00100016003_20260226_1510350127_215,validation,Recordings Examples\20260226\215\00100016003_20260226_1510350127_215.mp3,data\bakeoff\references\00100016003_20260226_1510350127_215.txt,multi,8000,34.000,phone_calls,medium,
00100002000_20260227_0957000407_201,holdout,Recordings Examples\20260227\201\00100002000_20260227_0957000407_201.mp3,data\bakeoff\references\00100002000_20260227_0957000407_201.txt,multi,8000,11.000,phone_calls,medium,
00100002000_20260227_1148440650_201,holdout,Recordings Examples\20260227\201\00100002000_20260227_1148440650_201.mp3,data\bakeoff\references\00100002000_20260227_1148440650_201.txt,multi,8000,13.000,phone_calls,medium,
00100002000_20260227_1152300534_201,dev,Recordings Examples\20260227\201\00100002000_20260227_1152300534_201.mp3,data\bakeoff\references\00100002000_20260227_1152300534_201.txt,multi,8000,29.000,phone_calls,medium,
00100002000_20260227_1157410295_201,dev,Recordings Examples\20260227\201\00100002000_20260227_1157410295_201.mp3,data\bakeoff\references\00100002000_20260227_1157410295_201.txt,multi,8000,21.000,phone_calls,medium,
00100016003_20260227_0957000392_215,holdout,Recordings Examples\20260227\215\00100016003_20260227_0957000392_215.mp3,data\bakeoff\references\00100016003_20260227_0957000392_215.txt,multi,8000,11.000,phone_calls,medium,
00100016003_20260227_1148440669_215,dev,Recordings Examples\20260227\215\00100016003_20260227_1148440669_215.mp3,data\bakeoff\references\00100016003_20260227_1148440669_215.txt,multi,8000,13.000,phone_calls,medium,
00100016003_20260227_1152300551_215,dev,Recordings Examples\20260227\215\00100016003_20260227_1152300551_215.mp3,data\bakeoff\references\00100016003_20260227_1152300551_215.txt,multi,8000,29.000,phone_calls,medium,
00100016003_20260227_1157410276_215,dev,Recordings Examples\20260227\215\00100016003_20260227_1157410276_215.mp3,data\bakeoff\references\00100016003_20260227_1157410276_215.txt,multi,8000,21.000,phone_calls,medium,
